"Advanced Placement (---)","AP 13 ART HISTORY (6)","FAAH 1030 INTRO ART 1A (3) & FAAH 1040 INTRO ART 2A (3)","AP ART HISTORY = UM FAAH 1030 (3) & UM FAAH 1040 (3)","Sep 2022 -"
"Advanced Placement (---)","AP 14 DRAWING (6)","STDO 1XXX TRANSFER 1000 LVL (6)", ,"Sep 2022 -"
"Advanced Placement (---)","AP 15 2-D ART AND DESIGN (6)","STDO 1XXX TRANSFER 1000 LVL (6)", ,"Sep 2022 -"
"Advanced Placement (---)","AP 16 3-D ART AND DESIGN (6)","STDO 1XXX TRANSFER 1000 LVL (6)", ,"Sep 2022 -"
"Advanced Placement (---)","AP 20 BIOLOGY (6)","BIOL 1020 BIOPRINCIPLES (3) & BIOL 1030 BIODIVERSITY (3)","AP BIOLOGY = UM BIOL 1020 (3) & UM BIOL 1030 (3)","Sep 2022 -"
"Advanced Placement (---)","AP 22 SEMINAR (6)","NO CREDIT", ,"Sep 2023 -"
"Advanced Placement (---)","AP 23 RESEARCH (6)","ARTS 1XXX TRANSFER 1000 LVL (3)", ,"Sep 2023 -"
"Advanced Placement (---)","AP 25 CHEMISTRY (6)","CHEM 1100 INTRODUCTORY CHEMISTRY 1 (3) & CHEM 1110 INTRODUCTORY CHEMISTRY 2 (3) & CHEM 112L CHEMICAL TECHNIQUES (0)","AP CHEMISTRY = UM CHEM 1100 (3) & UM CHEM 1110 (3) & UM CHEM 112L (0). UM CHEM 112L (0) SATISFIES UM CHEM 1120 (3) REQUIREMENT.","Sep 2021 -"
"Advanced Placement (---)","AP 28 CHINESE LANGUAGE & CULTURE (6)","ASIA 1760 INTRO MANDARIN (6)", ,"Sep 2022 -"
"Advanced Placement (---)","AP 31 COMPUTER SCIENCE A (6)","COMP 1010 COMP SCI I (3)","EFFECTIVE FALL 2023: AP COMPUTER SCI A = UM COMP 1010 (3)","Sep 2022 -"
"International Baccalaureate (---)","100088 HL BIOLOGY (6)","BIOL 1020 BIOPRINCIPLES (3) & BIOL 1030 BIODIVERSITY (3)","IB HIGHER LEVEL BIOLOGY = UM BIOL 1020 (3) & UM BIOL 1030 (3)","Sep 2020 -"
"International Baccalaureate (---)","100088 SL BIOLOGY (6)","NO CREDIT", ,"Sep 2022 -"
"International Baccalaureate (---)","100113 HL CHEMISTRY (6)","CHEM 1100 INTRODUCTORY CHEMISTRY 1 (3) & CHEM 1110 INTRODUCTORY CHEMISTRY 2 (3) & CHEM 112L CHEMICAL TECHNIQUES (0)","IB HIGHER LEVEL CHEMISTRY = UM CHEM 1100 (3) & UM CHEM 1110 (3) & UM CHEM 112L (0). UM CHEM 112L (0) SATISFIES THE UM CHEM 1120 (3) REQUIREMENT.","Sep 2021 -"
"International Baccalaureate (---)","100113 SL CHEMISTRY (6)","CHEM 1100 INTRODUCTORY CHEMISTRY 1 (3)", ,"Sep 2021 -"
"International Baccalaureate (---)","100164 HL ECONOMICS (6)","ECON 1010 INTRO MICROECONOMICS (3) & ECON 1020 INTRO MACROECONOMICS (3)","IB HIGHER LEVEL ECONOMICS = UM ECON 1010 (3) & UM ECON 1020 (3)","Sep 2022 -"
"International Baccalaureate (---)","100164 SL ECONOMICS (6)","NO CREDIT", ,"Sep 2022 -"
"International Baccalaureate (---)","100179 HL ENGLISH B (6)","NO CREDIT", ,"Sep 2022 -"
"International Baccalaureate (---)","100179 SL ENGLISH B (6)","NO CREDIT", ,"Sep 2022 -"
"International Baccalaureate (---)","100214 HL FRENCH B (6)","FREN 1200 FRENCH 1 (6)", ,"Sep 2022 -"
"International Baccalaureate (---)","100214 SL FRENCH B (6)","FREN 1200 FRENCH 1 (6)", ,"Sep 2022 -"
"International Baccalaureate (---)","100230 SL GERMAN AB INITIO (6)","GRMN 1122 INTRO GERMAN 1 (3) & GRMN 1124 INTRO GERMAN 2 (3)","IB STANDARD LEVEL GERMAN AB INITIO = UM GRMN 1122 (3) & UM GRMN 1124 (3)","Sep 2023 -"
"AGH University of Krakow ()","CHEM XX01 CHEMISTRY (6)","CHEM 1100 INTRODUCTORY CHEMISTRY 1 (3) & CHEM 1110 INTRODUCTORY CHEMISTRY 2 (3)", ,"Sep 2022 -"
"AGH University of Krakow ()","ENG XX01 BASICS OF INFORMATICS (2.5)","NO CREDIT", ,"Sep 2022 -"
"AGH University of Krakow ()","ENG XX02 BASICS OF MECHATRONICS (2)","NO CREDIT", ,"Sep 2022 -"
"Aarhus University (Denmark)","111231 U001 COGNITION & CREATIVE MEANING (5)","ARTS 1XXX TRANSFER 1000 LVL (3)","NO CREDIT IN PSYC.","Sep 2023 -"
"Aarhus University (Denmark)","116201 U001 CLIMATE CRISIS (5)","UNDER REVIEW", ,"Sep 2023 -"
"Aarhus University (Denmark)","116201 U001 CLIMATE CRISIS (5)","UNDER REVIEW", ,"Sep 2023 -"
"Aarhus University (Denmark)","116201 U001 CLIMATE CRISIS (5)","UNDER REVIEW", ,"Sep 2023 -"
